"outcome","n_rpm","n_grs","mean_rpm","mean_grs","diff_grs_minus_rpm","sd_rpm","sd_grs","pooled_sd","cohens_d","power_estimate"
"Self_Mean",131,126,52.3282442748092,65.6865079365079,13.3582636616988,21.1257472323344,17.3382218381222,19.3619170943208,0.689924639002661,1
"Peer_Mean",131,131,50.5448473282443,63.9945928753181,13.4497455470738,15.4078973832053,13.6186945310632,14.5408414904674,0.924963356205425,1
"Super_Mean",131,131,54.1507633587786,56.1335877862595,1.98282442748091,16.5791423466735,17.5676521380678,17.0805497949483,0.116086686393862,0.155
