"Model","Cluster","chisq.scaled","df.scaled","pvalue.scaled","cfi.scaled","tli.scaled","rmsea.scaled","srmr"
"Supervisor_RPM","Group",2.75201555424942,2,0.252584918194563,0.994742404963059,0.984227214889177,0.0541992689875685,0.0205246838637742
"Peer_RPM","Group",5.12341964299748,2,0.0771726760715602,0.973709723920011,0.921129171760034,0.110891513328733,0.0239307665341815
"Supervisor_GRS","Group",3.37954108433137,2,0.184561868301284,0.992825073491592,0.978475220474776,0.0734086667953412,0.0194079043387505
"Peer_GRS","Group",3.1038046651874,2,0.211844591393609,0.990945125777615,0.972835377332844,0.0659218299064743,0.0236331734862083
