"outcome","condition","n","mean","sd","cohens_d","power_estimate"
"Self_Discrep","RPM",131,-1.82251908396948,22.0901885754221,-0.0825035548133456,0.155
"Self_Discrep","GRS",126,9.29761904761905,16.1299942432015,0.576418001608266,1
"Peer_Discrep","RPM",131,-3.60591603053435,16.3427810355198,-0.220642742670122,0.708
"Peer_Discrep","GRS",131,7.86100508905852,13.7432574869941,0.571989944632686,1
