"Pair","r_RPM","r_GRS","p_RPM","p_GRS","n_Obs_RPM","n_Obs_GRS","power_condition_RPM","power_condition_GRS","steiger_z","steiger_p","power_diff"
"Self-Peer",0.308663490000191,0.391505912767327,0.000392859185095118,7.54316864518518e-06,128,123,0.947366493248424,0.995159431659942,-0.739502411851013,0.459601975735039,0.114617512593017
"Self-Super",0.345701331982577,0.606049609300251,6.42202982218919e-05,1.10633215295774e-13,128,123,0.981478707853659,0.999999995876296,-2.67680279826309,0.00743283687342156,0.76326498983066
"Peer-Super",0.502619718821517,0.616903225249328,1.4893696785553e-09,8.92987207096277e-15,128,128,0.999988905528426,0.999999999519806,-1.32171316193982,0.186263684137219,0.262171167764447
